time,ax,ay,az,atotal
5.032,-0.89,-0.03,-2.72,2.87
5.042,-0.65,-0.02,-2.39,2.48
5.052,-0.85,0.72,-2.28,2.54
5.062,-0.36,-0.03,-1.98,2.02
5.072,-0.07,0.42,-2.00,2.05
5.082,0.19,1.09,-2.47,2.70
5.092,0.74,0.88,-2.65,2.89
5.102,1.33,0.07,-2.18,2.56
5.112,1.15,-0.21,-1.46,1.87
5.122,1.03,-0.95,-0.99,1.71
5.132,0.92,-2.08,-0.68,2.37
5.142,0.28,-1.53,-0.08,1.56
5.152,-1.01,-1.27,0.36,1.66
5.162,-0.42,0.77,-0.60,1.06
5.172,0.41,1.81,-1.35,2.29
5.182,0.57,0.48,-1.29,1.49
5.192,0.77,-0.40,-1.38,1.63
5.202,0.81,-0.44,-1.75,1.98
5.212,0.50,-1.16,-1.71,2.12
5.222,0.14,-0.82,-1.56,1.77
5.232,0.11,0.70,-1.76,1.89
5.242,0.10,0.16,-1.83,1.84
5.252,-0.04,-0.26,-1.48,1.51
5.262,-0.55,0.98,-1.53,1.90
5.272,-0.23,0.78,-1.82,2.00
5.282,0.39,1.02,-1.48,1.84
5.292,0.58,2.47,-1.81,3.12
5.302,0.73,2.59,-2.58,3.73
5.312,0.93,2.95,-3.00,4.31
5.322,0.84,2.31,-3.03,3.90
5.332,0.73,2.38,-2.77,3.73
5.342,0.50,2.12,-2.42,3.26
5.352,0.20,1.54,-2.33,2.80
5.362,0.22,0.94,-2.16,2.37
5.372,0.98,1.23,-1.91,2.47
5.382,1.61,1.62,-1.91,2.98
5.392,2.31,2.39,-1.73,3.74
5.402,2.70,2.82,-1.89,4.34
5.412,3.03,2.62,-1.38,4.24
5.422,3.24,0.65,-1.01,3.45
5.432,3.34,-0.11,-0.37,3.36
5.442,3.17,-0.59,-0.50,3.26
5.452,2.43,-0.13,-1.20,2.71
5.462,0.53,5.57,-2.69,6.21
5.472,-0.64,2.13,-2.92,3.67
5.482,-0.28,-2.72,-1.34,3.04
5.491,-1.08,-1.62,-0.98,2.18
5.501,-2.12,-0.00,-0.54,2.19
5.512,-2.52,-0.43,0.56,2.62
5.522,-2.56,-1.08,1.45,3.14
5.532,-2.42,-1.47,1.98,3.45
5.541,-2.20,-0.49,2.13,3.10
5.551,-1.62,0.80,1.89,2.62
5.562,-0.61,1.30,1.01,1.76
5.572,0.50,1.44,0.44,1.58
5.581,1.26,0.38,0.78,1.53
5.591,2.09,0.53,1.48,2.62
5.602,2.88,1.86,1.89,3.91
5.612,3.05,2.97,2.16,4.78
5.621,2.58,3.07,2.18,4.56
5.632,1.97,2.35,1.87,3.59
5.641,1.53,0.93,1.16,2.13
5.651,1.92,0.52,0.88,2.18
5.661,2.29,0.79,0.39,2.45
5.672,2.41,0.54,0.15,2.48
5.681,2.16,-0.21,0.00,2.17
5.691,1.85,-0.76,-0.29,2.02
5.701,1.58,-1.10,-0.42,1.97
5.711,1.34,-1.40,-0.57,2.02
5.721,1.14,-1.98,-0.50,2.34
5.731,0.92,-2.36,-0.38,2.56
5.741,0.78,-2.25,-0.23,2.39
5.751,0.47,-1.84,0.21,1.91
5.761,0.01,-1.66,0.63,1.77
5.771,-0.31,-1.83,0.79,2.02
5.781,-0.41,-1.96,0.79,2.15
5.791,-0.32,-2.04,0.80,2.21
5.801,0.00,-2.39,0.76,2.51
5.811,0.27,-3.09,0.61,3.16
5.821,0.66,-4.10,0.53,4.18
5.831,0.73,-4.92,0.47,5.00
5.841,0.68,-5.41,0.18,5.46
5.851,0.25,-6.40,-0.25,6.41
5.861,-0.56,-5.79,-0.81,5.87
5.871,-1.54,-5.05,-1.75,5.56
5.881,0.05,-3.18,-1.62,3.57
5.891,1.15,0.48,-1.57,2.01
5.901,1.02,3.00,-2.02,3.75
5.911,0.33,5.53,-2.91,6.26
5.921,0.25,7.32,-4.64,8.67
5.931,0.74,6.04,-5.69,8.33
5.941,1.50,4.56,-5.06,6.97
5.951,2.76,3.67,-4.16,6.19
5.961,3.94,3.01,-3.10,5.84
5.971,4.77,3.39,-2.08,6.21
5.981,4.54,3.85,-1.21,6.07
5.991,3.16,4.02,-0.72,5.17
6.001,1.52,5.30,-0.41,5.53
6.011,0.40,9.10,-0.87,9.15
6.022,-0.25,12.32,-1.77,12.45
6.031,-0.97,12.16,-2.11,12.38
6.041,-2.43,6.80,0.29,7.23
6.051,-3.27,1.85,3.00,4.81
6.061,-3.10,-0.98,4.55,5.59
6.071,-2.89,-2.14,5.53,6.60
6.081,-2.60,-2.23,5.35,6.35
6.091,-2.38,-2.45,4.31,5.50
6.101,-2.05,-2.87,3.06,4.67
6.111,-1.33,-2.97,1.83,3.73
6.121,-0.81,-2.71,1.04,3.01
6.131,-1.13,-2.15,0.69,2.52
6.140,-2.07,-1.10,0.88,2.50
6.151,-3.07,-0.17,1.58,3.45
6.161,-3.60,0.70,1.58,3.99
6.171,-3.23,1.38,0.46,3.54
6.181,-2.28,1.34,-0.42,2.68
6.190,-1.65,0.69,-0.40,1.83
6.201,-1.37,-0.59,-0.40,1.55
6.210,-1.67,-2.25,-0.49,2.84
6.220,-2.07,-3.82,-0.96,4.45
6.231,-2.32,-5.07,-1.29,5.72
6.240,-2.49,-5.62,-1.47,6.32
6.250,-2.66,-5.47,-1.54,6.27
6.260,-2.61,-4.45,-1.56,5.39
6.270,-2.49,-2.71,-1.10,3.84
6.280,-2.32,-0.77,-0.36,2.47
6.290,-2.21,0.90,0.31,2.40
6.300,-2.01,1.59,0.61,2.64
6.310,-1.76,1.02,0.68,2.15
6.320,-1.51,-0.01,0.74,1.68
6.330,-1.20,-0.60,0.48,1.43
6.340,-0.78,-0.72,-0.08,1.07
6.350,-0.49,-1.01,-0.74,1.34
6.360,-0.38,-1.53,-1.62,2.26
6.370,-0.14,-1.94,-2.50,3.17
6.380,0.27,-2.01,-3.36,3.92
6.390,0.91,-1.73,-3.92,4.38
6.400,1.46,-1.34,-4.11,4.56
6.410,1.89,-0.69,-4.16,4.62
6.420,2.30,-0.05,-4.25,4.83
6.430,2.58,0.29,-4.36,5.08
